案由	编码				
240、中外合资经营企业合同纠纷	008001013				
241、中外合作经营企业合同纠纷	008001014				
二十一、与公司有关的纠纷	008002				
242、股东资格确认纠纷	008002001				
243、股东名册记载纠纷	008002002				
244、请求变更公司登记纠纷	008002003				
245、股东出资纠纷	008002004				
246、新增资本认购纠纷	008002005				
247、股东知情权纠纷	008002006				
248、请求公司收购股份纠纷	008002007				
249、股权转让纠纷	008002008				
250、公司决议纠纷	008002009				
（1）公司决议效力确认纠纷	008002009001				
（2）公司决议撤销纠纷	008002009002				
251、公司设立纠纷	008002010				
252、公司证照返还纠纷	008002011				
253、发起人责任纠纷	008002012				
254、公司盈余分配纠纷	008002013				
255、损害股东利益责任纠纷	008002014				
256、损害公司利益责任纠纷	008002015				
257、股东损害公司债权人利益责任纠纷	008002016				
258、公司关联交易损害责任纠纷	008002017				
259、公司合并纠纷	008002018				
260、公司分立纠纷	008002019				
261、公司减资纠纷	008002020				
262、公司增资纠纷	008002021				
263、公司解散纠纷	008002022				
264、申请公司清算	008002023				
265、清算责任纠纷	008002024				
266、上市公司收购纠纷	008002025				
二十二、合伙企业纠纷	008003				
267、入伙纠纷	008003001				
268、退伙纠纷	008003002				
269、合伙企业财产份额转让纠纷	008003003				
二十三、与破产有关的纠纷	008004				
270、申请破产清算	008004001				
271、申请破产重整	008004002				
272、申请破产和解	008004003				
273、请求撤销个别清偿行为纠纷	008004004				
274、请求确认债务人行为无效纠纷	008004005				
275、对外追收债权纠纷	008004006				
276、追收未缴出资纠纷	008004007				
277、追收抽逃出资纠纷	008004008				
278、追收非正常收入纠纷	008004009				
279、破产债权确认纠纷	008004010				
（1）职工破产债权确认纠纷	008004010001				
（2）普通破产债权确认纠纷	008004010002				
280、取回权纠纷	008004011				
（1）一般取回权纠纷	008004011001				
（2）出卖人取回权纠纷	008004011002				
281、破产抵销权纠纷	008004012				
282、别除权纠纷	008004013				
283、破产撤销权纠纷	008004014				
284、损害债务人利益赔偿纠纷	008004015				
285、管理人责任纠纷	008004016				
二十四、证券纠纷	008005				
286、证券权利确认纠纷	008005001				
（1）股票权利确认纠纷	008005001001				
（2）公司债券权利确认纠纷	008005001002				
（3）国债权利确认纠纷	008005001003				
（4）证券投资基金权利确认纠纷	008005001004				
287、证券交易合同纠纷	008005002				
（1）股票交易纠纷	008005002001				
（2）公司债券交易纠纷	008005002002				
（3）国债交易纠纷	008005002003				
（4）证券投资基金交易纠纷	008005002004				
288、金融衍生品种交易纠纷	008005003				
289、证券承销合同纠纷	008005004				
（1）证券代销合同纠纷	008005004001				
（2）证券包销合同纠纷	008005004002				
290、证券投资咨询纠纷	008005005				
291、证券资信评级服务合同纠纷	008005006				
292、证券回购合同纠纷	008005007				
（1）股票回购合同纠纷	008005007001				
（2）国债回购合同纠纷	008005007002				
（3）公司债券回购合同纠纷	008005007003				
（4）证券投资基金回购合同纠纷	008005007004				
（5）质押式证券回购纠纷	008005007005				
